scenario_id,scenario_family,ego_speed_kmh,target_distance_m,relative_speed_kmh,road_condition,mu,actuator_delay_s,target_type,expected_state,odd_status,stopping_distance_m,ttc_s,calculated_state,brake_request,verification_result,verification_comment
P-SCN-039,HIGH_CLOSING_RISK,20,4,8,wet,0.45,0.1,lead_vehicle,WARNING,inside_ODD,4.051,1.8,WARNING,0,Pass,Calculated state matches expected state.
P-SCN-040,SUDDEN_OBSTACLE,20,3,20,wet,0.45,0.1,stationary_obstacle,EMERGENCY_BRAKE,inside_ODD,4.051,0.54,EMERGENCY_BRAKE,1,Pass,Calculated state matches expected state.
P-SCN-041,NORMAL_FOLLOWING,20,25,5,wet,0.45,0.2,lead_vehicle,SAFE,inside_ODD,4.607,18,SAFE,0,Pass,Calculated state matches expected state.
P-SCN-042,CLOSE_TARGET,20,5.298,5.298,wet,0.45,0.2,lead_vehicle,CAUTION,inside_ODD,4.607,3.6,CAUTION,0,Pass,Calculated state matches expected state.
P-SCN-043,HIGH_CLOSING_RISK,20,4.377,8,wet,0.45,0.2,lead_vehicle,WARNING,inside_ODD,4.607,1.97,WARNING,0,Pass,Calculated state matches expected state.
P-SCN-044,SUDDEN_OBSTACLE,20,3.225,20,wet,0.45,0.2,stationary_obstacle,EMERGENCY_BRAKE,inside_ODD,4.607,0.581,EMERGENCY_BRAKE,1,Pass,Calculated state matches expected state.
P-SCN-045,NORMAL_FOLLOWING,20,25,5,wet,0.45,0.3,lead_vehicle,SAFE,inside_ODD,5.162,18,SAFE,0,Pass,Calculated state matches expected state.
P-SCN-046,CLOSE_TARGET,20,5.937,5.937,wet,0.45,0.3,lead_vehicle,CAUTION,inside_ODD,5.162,3.6,CAUTION,0,Pass,Calculated state matches expected state.
P-SCN-047,HIGH_CLOSING_RISK,20,4.904,8.828,wet,0.45,0.3,lead_vehicle,WARNING,inside_ODD,5.162,2,WARNING,0,Pass,Calculated state matches expected state.
P-SCN-048,SUDDEN_OBSTACLE,20,3.614,20,wet,0.45,0.3,stationary_obstacle,EMERGENCY_BRAKE,inside_ODD,5.162,0.651,EMERGENCY_BRAKE,1,Pass,Calculated state matches expected state.
P-SCN-049,NORMAL_FOLLOWING,30,25,5,dry,0.75,0.1,lead_vehicle,SAFE,inside_ODD,5.553,18,SAFE,0,Pass,Calculated state matches expected state.
P-SCN-050,CLOSE_TARGET,30,6.386,6.386,dry,0.75,0.1,lead_vehicle,CAUTION,inside_ODD,5.553,3.6,CAUTION,0,Pass,Calculated state matches expected state.
P-SCN-051,HIGH_CLOSING_RISK,30,5.275,9.495,dry,0.75,0.1,lead_vehicle,WARNING,inside_ODD,5.553,2,WARNING,0,Pass,Calculated state matches expected state.
P-SCN-052,SUDDEN_OBSTACLE,30,3.887,30,dry,0.75,0.1,stationary_obstacle,EMERGENCY_BRAKE,inside_ODD,5.553,0.466,EMERGENCY_BRAKE,1,Pass,Calculated state matches expected state.
P-SCN-053,NORMAL_FOLLOWING,30,25,5,dry,0.75,0.2,lead_vehicle,SAFE,inside_ODD,6.386,18,SAFE,0,Pass,Calculated state matches expected state.
P-SCN-054,CLOSE_TARGET,30,7.344,7.344,dry,0.75,0.2,lead_vehicle,CAUTION,inside_ODD,6.386,3.6,CAUTION,0,Pass,Calculated state matches expected state.
P-SCN-055,HIGH_CLOSING_RISK,30,6.067,10.92,dry,0.75,0.2,lead_vehicle,WARNING,inside_ODD,6.386,2,WARNING,0,Pass,Calculated state matches expected state.
P-SCN-056,SUDDEN_OBSTACLE,30,4.47,30,dry,0.75,0.2,stationary_obstacle,EMERGENCY_BRAKE,inside_ODD,6.386,0.536,EMERGENCY_BRAKE,1,Pass,Calculated state matches expected state.
P-SCN-057,NORMAL_FOLLOWING,30,25,5,dry,0.75,0.3,lead_vehicle,SAFE,inside_ODD,7.219,18,SAFE,0,Pass,Calculated state matches expected state.
P-SCN-058,CLOSE_TARGET,30,8.302,8.302,dry,0.75,0.3,lead_vehicle,CAUTION,inside_ODD,7.219,3.6,CAUTION,0,Pass,Calculated state matches expected state.
P-SCN-059,HIGH_CLOSING_RISK,30,6.858,12.345,dry,0.75,0.3,lead_vehicle,WARNING,inside_ODD,7.219,2,WARNING,0,Pass,Calculated state matches expected state.
